Stock,Date,Close,Daily%change
OKTA ,5/2/2025 16:00:00,112.9,
OKTA ,5/5/2025 16:00:00,115.71,0.02488928255
OKTA ,5/6/2025 16:00:00,117.07,0.01175352174
OKTA ,5/7/2025 16:00:00,118.03,0.008200222089
OKTA ,5/8/2025 16:00:00,120.75,0.02304498856
OKTA ,5/9/2025 16:00:00,119.45,-0.01076604555
OKTA ,5/12/2025 16:00:00,124.17,0.03951444119
OKTA ,5/13/2025 16:00:00,124.05,-0.0009664170089
OKTA ,5/14/2025 16:00:00,123.34,-0.005723498589
OKTA ,5/15/2025 16:00:00,124.39,0.008513053348
OKTA ,5/16/2025 16:00:00,127.3,0.02339416352
OKTA ,5/19/2025 16:00:00,126.44,-0.006755695208
OKTA ,5/20/2025 16:00:00,125.54,-0.007118000633
OKTA ,5/21/2025 16:00:00,122.06,-0.02772024853
OKTA ,5/22/2025 16:00:00,122.06,0
OKTA ,5/23/2025 16:00:00,123.72,0.01359986892
OKTA ,5/27/2025 16:00:00,125.5,0.01438732622
OKTA ,5/28/2025 16:00:00,105.23,-0.1615139442
OKTA ,5/29/2025 16:00:00,106.63,0.01330419082
OKTA ,5/30/2025 16:00:00,103.17,-0.03244865422
OKTA ,6/2/2025 16:00:00,104.73,0.01512067461
OKTA ,6/3/2025 16:00:00,103.58,-0.01098061682
OKTA ,6/4/2025 16:00:00,105.6,0.01950183433
OKTA ,6/5/2025 16:00:00,104.18,-0.0134469697
OKTA ,6/6/2025 16:00:00,105.08,0.008638894222
OKTA ,6/9/2025 16:00:00,101.2,-0.03692424819
OKTA ,6/10/2025 16:00:00,100.78,-0.004150197628
OKTA ,6/11/2025 16:00:00,100.44,-0.003373685255
OKTA ,6/12/2025 16:00:00,100.18,-0.002588610115
OKTA ,6/13/2025 16:00:00,97.48,-0.02695148732
OKTA ,6/16/2025 16:00:00,99.28,0.01846532622
OKTA ,6/17/2025 16:00:00,98.67,-0.006144238517
OKTA ,6/18/2025 16:00:00,99,0.003344481605
OKTA ,6/20/2025 16:00:00,99.42,0.004242424242
OKTA ,6/23/2025 16:00:00,98.66,-0.007644337156
